hash,author,date,category,summary,weekday
663198d7b453ffdbe86d0e0238b1feafde6ce569,David Lord,2026-02-03 18:22:19+00:00,others,update dev dependencies,1
976459f7cb35c8c3abc3a6e6a2728d76d1a0a5f2,David Lord,2026-02-03 18:20:49+00:00,bugfix,fix editable werkzeug,1
5e621a2801daf95be6d208da9dcc287bb251f63c,David Lord,2026-02-03 18:19:45+00:00,others,update domain matching tests for Werkzeug 3.2,1
798e006f435887adceb6aab9b57cde8e20276793,David Lord,2026-01-25 18:38:42+00:00,others,Merge branch 'stable',6
407eb76b27884848383a37c7274654f0271e4bc4,David Lord,2026-01-25 18:35:12+00:00,docs,document using gevent for async (#5900),6
ac5664d2281533eacafd64f5cc7d5edcdaccab60,David Lord,2026-01-25 18:31:31+00:00,docs,document using gevent for async,6
23df07d799f0bed3feb5beb9e5633651687da92b,David Lord,2026-01-25 03:55:36+00:00,others,Merge branch 'stable',6
4b8bde97d4fa3486e18dce21c3c5f75570d50164,David Lord,2026-01-25 03:53:11+00:00,others,deprecate `should_ignore_error` (#5899),6
0292047b22c82921dcf165322d93a0b988328c2e,David Lord,2026-01-25 03:52:11+00:00,others,remove unused ruff check rule,6
c77a5203438fe772d41f6a47303ad3f57a4efe6d,David Lord,2026-01-25 03:50:30+00:00,others,deprecate should_ignore_error,6
9b74a90dd3c47f792734823e8793ac36f38bc4dd,David Lord,2026-01-25 03:11:02+00:00,bugfix,fix codespell findings,6
5880befcd22490c40f3c63d6178427f7753672c1,David Lord,2026-01-25 03:05:26+00:00,others,Merge branch 'stable',6
4f79d5b59a56bc4356a97f2e81a35f98cb18d7b3,David Lord,2026-01-25 03:04:07+00:00,others,Increase required flit_core version to 3.11 (#5865),6
fe3b215d3ade4db68262dae1a3cdc464a1fc524f,Markus Heidelberg,2025-12-17 14:44:15+00:00,others,Increase required flit_core version to 3.11,2
5559ef42b5334075cbde82b2870ca725ac606fa4,David Lord,2026-01-25 03:00:23+00:00,feature,pre-commit: Add codespell (#5844),6
3709c4a9a87e6ce8c26dc4a951e1df52ac9ecad0,David Lord,2026-01-25 02:58:45+00:00,others,update ruff hook and noqa,6
709f83f6a32da8cdaec196d7b785ab6827322008,Christian Clauss,2025-11-05 17:13:26+00:00,feature,pre-commit: Add codespell,2
30da640ffe23b6e461fa91d387ffea6b9d9fa847,ADITYA SAH,2026-01-25 02:46:56+00:00,others,clarify 415 vs 400 errors for request.json (#5827),6
25642fd1fd65985fc98f95e64bc2c7ff353d6c2b,David Lord,2026-01-25 02:25:31+00:00,bugfix,fix annotation for select_jinja_autoescape (#5808),6
809d5a8869d4ffe8656680b2438b10f7c8845613,David Lord,2026-01-25 01:18:35+00:00,others,redirect defaults to 303 (#5898),6
eca5fd1dfdc614c2df876cc32018a7d71f84ea82,David Lord,2026-01-25 00:50:54+00:00,others,redirect defaults to 303,6
eb58d862cc4a8f31a369b6e9ad1724e9e642f13f,David Lord,2026-01-25 01:15:54+00:00,others,Merge branch 'stable',6
64dd0809c2fc732ed30539235232a268f9bd96ac,David Lord,2026-01-25 01:14:20+00:00,others,update dev dependencies,6
97bddc1f61a59522386d36ec37b2b220a01de262,David Lord,2026-01-05 16:49:46+00:00,others,update dev dependencies,0
ad68a12645d96fe51558da13e18544ba458d7af0,David Lord,2025-11-28 19:05:47+00:00,others,drop experimental 3.13t test env,4
2579ce9f18e67ec3213c6eceb5240310ccd46af8,David Lord,2025-11-17 18:05:51+00:00,others,Merge branch 'stable',0
607d1948b8747776f4a45d5b7c7eaeb57b6b9f80,David Lord,2025-11-17 18:05:39+00:00,others,split free threading envs,0
218880c7fdedee139ac09caaf93da469b4dba14c,David Lord,2025-11-17 18:03:42+00:00,others,Merge branch 'stable',0
917000097fc17875104176e2c71318ab25c508c3,David Lord,2025-11-17 18:02:53+00:00,others,test py3.14,0
96a01e420b741c59af59301f15612fde39bfb39d,David Lord,2025-11-17 17:45:56+00:00,others,Merge branch 'stable',0
da6d075dfde71b2e2a64f39b29ba957d5ffb00b0,David Lord,2025-11-17 17:43:40+00:00,others,update dev dependencies,0
70d04b5a2620705011e65f79ccfd52caa86f5d6a,David Lord,2025-11-17 16:49:53+00:00,others,pass context through dispatch methods (#5818),0
88a65bb374e87a18816a780dbd4ae69d307aa85c,Hynek Schlawack,2025-10-14 20:26:26+00:00,bugfix,Docs typo/markup fixes (#5829),1
6a64969009bf1898bd302e6a9633f71942523f7f,David Lord,2025-09-19 23:58:48+00:00,others,pass context through dispatch methods,4
adf363679da2d9a5ddc564bb2da563c7ca083916,David Lord,2025-09-19 23:45:27+00:00,others,merge app and request context (#5812),4
c2705ffd9ce1dc8476cb29eaf5ff5d4c719852d9,David Lord,2025-09-12 21:52:03+00:00,others,merge app and request context,4
dbd4c2882593f6118103120aa96fa9acdf7deedb,subhajitsaha01,2025-09-06 16:31:22+00:00,others,Changed the static annotated type of select_jinja_autoescape method in src/flask/sansio/app.py,5
330123258e8c3dc391cbe55ab1ed94891ca83af3,David Lord,2025-08-19 21:09:56+00:00,others,Merge branch 'stable',1
85793d6c223dd845e8f218403a5ced83041d37e1,David Lord,2025-08-19 21:03:43+00:00,others,release version 3.1.2 (#5800),1
2c1b30d0503cfb064f1cb252e6614a06915a362a,David Lord,2025-08-19 20:42:11+00:00,others,release version 3.1.2,1
1292419ddfc6a14fc7f85b5ed7efcc2d215f1ad3,David Lord,2025-08-19 20:56:49+00:00,others,Update GitHub Actions workflow for artifact handling (#5795),1
4dd52ca9c768c9b6d04180f0547d6f4b6e34f211,Grant Birkinbine,2025-08-07 04:44:28+00:00,others,Update GitHub Actions workflow for artifact handling,3
55c62556571ee46a94da174643b50ece06edead4,David Lord,2025-08-19 20:41:24+00:00,others,update dev dependencies,1
ed1c9e953e2d67c0994e32e6c8d878291e36d4f7,David Lord,2025-08-19 19:36:00+00:00,feature,support call template_filter without parens (#5736),1
edebd3704437f19b5b137eaffe97130fe817d144,David Lord,2025-08-19 19:29:47+00:00,docs,"rewrite docs, clean up typing for template decorators",1
daf1510a4bda652ac2cfca03ec5567b03ddf8bf1,kadai0308,2025-05-17 04:17:18+00:00,others,use template_filter without parens,5
d8259eb11900285af9b80b0fa47f841174c054e3,David Lord,2025-08-19 17:43:16+00:00,others,use Jinja name consistently,1
38b4c1e19b50494cfcdc9332899e09b7fed34979,David Lord,2025-08-19 15:23:51+00:00,refactor,refactor stream_with_context for async views (#5799),1
9822a0351574790cb66c652fcc396ad7aa2b09d8,David Lord,2025-08-19 15:18:55+00:00,refactor,refactor stream_with_context for async views,1
49b7e7bc8fb69d605719991d1c0a99fcee689053,David Lord,2025-08-18 18:44:57+00:00,docs,security docs for TRUSTED_HOSTS (#5798),0
b228ca3d87745b746d904a2108429617a814ffda,David Lord,2025-08-18 18:42:48+00:00,docs,security docs for TRUSTED_HOSTS,0
ff64079a516c269f171ababf3d92b86886a62ffd,David Lord,2025-08-18 17:51:12+00:00,others,update flask-talisman link,0
1dfd7cd5555d9e62a2e198a131c366242e724b35,David Lord,2025-08-18 17:26:12+00:00,others,use IO[bytes] instead of BinaryIO for wider compatibility (#5777),0
d44f1c65239c3e33509224aa1931631243dbfa7f,Tero Vuotila,2025-07-16 09:21:50+00:00,others,relax type hint for bytes io,2
c56c5ec7c41e6ffd02516bf7cb80dd2ba9ba7aa3,David Lord,2025-08-18 17:20:06+00:00,bugfix,Docs: Fix escaping in HTML escaping example (#5742),0
0f83958247e9eab1c7f62903601dfd5fe10c640f,Badhreesh,2025-05-21 18:35:11+00:00,others,demonstrate escaping with query string,2
7fea7cf15688b2a2712b01c45c9e3385ea382e67,David Lord,2025-08-18 17:08:07+00:00,others,Update macOS UI reference to “System Settings” (#5723),0
24824ff666e096c4c07d0b75a889088571afe4a6,David Lord,2025-08-18 16:56:39+00:00,others,push preserved contexts in correct order (#5797),0
53b8f08218796d95764c5252bccd8a50a173a6fb,David Lord,2025-08-18 16:41:03+00:00,others,push preserved contexts in correct order,0
5addaf833b2e8c7a616f89dd8ad5a44b07d7c000,David Lord,2025-08-18 16:42:21+00:00,others,start version 3.1.2,0
85c5d93cbd049c4bd0679c36fd1ddcae8c37b642,David Lord,2025-06-12 20:48:07+00:00,others,Merge branch 'stable',3
85cc71046475f9cb3efd17d496356795961249f9,David Lord,2025-06-12 20:46:49+00:00,others,svg logo,3
284273e3c5d8005bbb4b43c4d934409a5215886e,David Lord,2025-06-10 20:18:26+00:00,others,Merge branch 'stable',1
f17d9869489aea57d3fa05d5a3f1504fcf8e588c,David Lord,2025-06-10 20:18:15+00:00,refactor,cleanup svg,1
d6009c0aeb3c7fe3a841733e9dbdfbbb63b9bfd1,David Lord,2025-06-10 04:20:46+00:00,others,Merge branch 'stable',1
2b42a803a25e56a3a0e2af939ee5be4dcc3f29c8,David Lord,2025-06-10 04:20:36+00:00,refactor,cleanup svg,1
211cce038ab6354a15a76b2c7f98fa98bfc9e6a3,David Lord,2025-06-09 21:33:44+00:00,others,Merge branch 'stable',0
a7b67c99f922f26b1071a90994e14261dc0a6df2,David Lord,2025-06-09 21:33:26+00:00,others,svg logo (#5757),0
a758915893352f5986c6ee101cdf7e3b7a64fa28,David Lord,2025-06-09 21:31:31+00:00,others,svg logo,0
e9741288637e0d9abe95311247b4842a017f7d5c,David Lord,2025-06-08 16:54:32+00:00,others,Merge branch 'stable',6
f04c5e696400badaa52b3450ded53e9091c2078a,David Lord,2025-06-08 16:52:11+00:00,others,update dev dependencies,6
c07b201ce336c3e49ae3b6fa81aaf4fb871d90ba,David Lord,2025-06-08 16:47:45+00:00,others,Merge pull request #5754,6
adeea0070700671230733879846417c80f4e62b1,David Lord,2025-06-08 16:43:05+00:00,others,remove slsa provenance,6
7bf3be8dfa5832ef03a3fd8f07f6736e770440e4,abhiram kamini,2025-05-01 15:40:57+00:00,others,Update server.rst,3
a42c4d54a3e5cd56c0700479ede75157a748acd6,David Lord,2025-05-20 16:30:04+00:00,bugfix,Fix global CONTRIBUTING link (#5737),1
184ec3c5453e1156372085df35e8d922ce7e3559,AJ Jordan,2025-05-18 15:11:00+00:00,bugfix,Fix global CONTRIBUTING link,6
a5f9742398c9429ef84ac8a57b0f3eb418394d9e,David Lord,2025-05-13 15:35:41+00:00,others,drop end of life python versions (#5731),1
52df9eed45d0b19c588662ed8492d8fbaa0e7098,David Lord,2025-05-13 15:31:54+00:00,others,drop end of life python versions,1
e7e53807766ef1470bce546716a675ded4b08597,David Lord,2025-05-13 15:10:30+00:00,others,Merge branch 'stable',1
bbaf13333fd00644313488243cfe547b13dcae78,David Lord,2025-05-13 15:09:39+00:00,bugfix,fix syntax,1
57e72869486e89b45f6fd0a07cdd0adf80f5db1b,David Lord,2025-05-13 15:01:42+00:00,others,release version 3.1.1 (#5730),1
7fff56f5172c48b6f3aedf17ee14ef5c2533dfd1,David Lord,2025-05-13 14:51:12+00:00,others,release version 3.1.1,1
